#x 	 y(x) 	 y'(x) 
0 0 1
0.00207359 0.00207359 0.999998
0.00407656 0.00407655 0.999992
0.00603663 0.00603659 0.999982
0.00797034 0.00797026 0.999968
0.00988777 0.00988762 0.999951
0.0117951 0.0117948 0.99993
0.0136961 0.0136957 0.999906
0.0155932 0.0155926 0.999878
0.0174879 0.017487 0.999847
0.019381 0.0193798 0.999812
0.0212732 0.0212716 0.999774
0.0231648 0.0231627 0.999732
0.025056 0.0250534 0.999686
0.0269469 0.0269437 0.999637
0.0288378 0.0288338 0.999584
0.0307285 0.0307237 0.999528
0.0326192 0.0326134 0.999468
0.0345098 0.034503 0.999405
0.0364004 0.0363924 0.999338
0.0382911 0.0382817 0.999267
0.0401817 0.0401709 0.999193
0.0420723 0.0420599 0.999115
0.0439628 0.0439487 0.999034
0.0458534 0.0458374 0.998949
0.047744 0.0477259 0.99886
0.0496346 0.0496143 0.998768
0.0515252 0.0515024 0.998673
0.0534158 0.0533904 0.998574
0.0553064 0.0552782 0.998471
0.057197 0.0571658 0.998365
0.0590875 0.0590532 0.998255
0.0609781 0.0609404 0.998141
0.0628687 0.0628273 0.998024
0.0647593 0.0647141 0.997904
0.0666499 0.0666006 0.99778
0.0685405 0.0684869 0.997652
0.070431 0.0703729 0.997521
0.0723216 0.0722586 0.997386
0.0742122 0.0741442 0.997248
0.0761028 0.0760294 0.997106
0.0779934 0.0779144 0.99696
0.079884 0.0797991 0.996811
0.0817746 0.0816835 0.996658
0.0836651 0.0835676 0.996502
0.0855557 0.0854514 0.996342
0.0874463 0.087335 0.996179
0.0893369 0.0892182 0.996012
0.0912275 0.0911011 0.995842
0.0931181 0.0929836 0.995668
0.0950087 0.0948658 0.99549
0.0968992 0.0967477 0.995309
0.0987898 0.0986293 0.995124
0.10068 0.10051 0.994936
0.102571 0.102391 0.994744
0.104462 0.104272 0.994549
0.106352 0.106152 0.99435
0.108243 0.108032 0.994147
0.110133 0.109911 0.993941
0.112024 0.11179 0.993732
0.113915 0.113668 0.993519
0.115805 0.115547 0.993302
0.117696 0.117424 0.993082
0.119586 0.119302 0.992858
0.121477 0.121178 0.992631
0.123367 0.123055 0.9924
0.125258 0.124931 0.992165
0.127149 0.126806 0.991927
0.129039 0.128681 0.991686
0.13093 0.130556 0.991441
0.13282 0.13243 0.991192
0.134711 0.134304 0.99094
0.136602 0.136177 0.990684
0.138492 0.13805 0.990425
0.140383 0.139922 0.990163
0.142273 0.141794 0.989896
0.144164 0.143665 0.989626
0.146054 0.145536 0.989353
0.147945 0.147406 0.989076
0.149836 0.149276 0.988796
0.151726 0.151145 0.988512
0.153617 0.153013 0.988224
0.155507 0.154881 0.987933
0.157398 0.156749 0.987638
0.159289 0.158616 0.98734
0.161179 0.160482 0.987039
0.16307 0.162348 0.986734
0.16496 0.164213 0.986425
0.166851 0.166078 0.986113
0.168741 0.167942 0.985797
0.170632 0.169805 0.985478
0.172523 0.171668 0.985155
0.174413 0.17353 0.984829
0.176304 0.175392 0.984499
0.178194 0.177253 0.984165
0.180085 0.179113 0.983828
0.181976 0.180973 0.983488
0.183866 0.182832 0.983144
0.185757 0.18469 0.982797
0.187647 0.186548 0.982446
0.189538 0.188405 0.982091
0.191429 0.190262 0.981733
0.193319 0.192117 0.981372
0.19521 0.193972 0.981007
0.1971 0.195827 0.980639
0.198991 0.19768 0.980267
0.200881 0.199533 0.979891
0.202772 0.201385 0.979512
0.204663 0.203237 0.97913
0.206553 0.205088 0.978744
0.208444 0.206938 0.978354
0.210334 0.208787 0.977961
0.212225 0.210636 0.977565
0.214116 0.212483 0.977165
0.216006 0.21433 0.976761
0.217897 0.216177 0.976354
0.219787 0.218022 0.975944
0.221678 0.219867 0.97553
0.223568 0.221711 0.975112
0.225459 0.223554 0.974692
0.22735 0.225396 0.974267
0.22924 0.227238 0.973839
0.231131 0.229079 0.973408
0.233021 0.230918 0.972973
0.234912 0.232758 0.972535
0.236803 0.234596 0.972093
0.238693 0.236433 0.971648
0.240584 0.23827 0.971199
0.242474 0.240105 0.970747
0.244365 0.24194 0.970291
0.246255 0.243774 0.969832
0.248146 0.245607 0.969369
0.250037 0.24744 0.968903
0.251927 0.249271 0.968434
0.253818 0.251101 0.967961
0.255708 0.252931 0.967484
0.257599 0.25476 0.967004
0.25949 0.256587 0.966521
0.26138 0.258414 0.966034
0.263271 0.26024 0.965544
0.265161 0.262065 0.96505
0.267052 0.263889 0.964553
0.268943 0.265712 0.964052
0.270833 0.267534 0.963548
0.272724 0.269356 0.963041
0.274614 0.271176 0.96253
0.276505 0.272995 0.962015
0.278395 0.274813 0.961498
0.280286 0.276631 0.960976
0.282177 0.278447 0.960452
0.284067 0.280262 0.959923
