#x 	 y 	 errors
0.1 	 -15.3 	 1.04
1.33 	 0.32 	 0.594
2.55 	 2.45 	 0.983
3.78 	 2.75 	 0.998
5 	 2.27 	 1.11
6.22 	 1.35 	 0.398
7.45 	 0.157 	 0.535
8.68 	 -1.23 	 0.968
9.9 	 -2.75 	 0.478


#x 	 fit 	 fit+uncertainties 	 fit-uncertainties
0.1 	 -15.3058 	 -14.3164 	 -16.2951 
0.149 	 -12.6159 	 -11.7665 	 -13.4652 
0.198 	 -10.7261 	 -9.97039 	 -11.4818 
0.247 	 -9.27816 	 -8.59049 	 -9.96582 
0.296 	 -8.11087 	 -7.47509 	 -8.74666 
0.345 	 -7.13783 	 -6.54278 	 -7.73288 
0.394 	 -6.30725 	 -5.74483 	 -6.86967 
0.443 	 -5.58564 	 -5.04972 	 -6.12155 
0.492 	 -4.95008 	 -4.43591 	 -5.46425 
0.541 	 -4.3842 	 -3.88801 	 -4.8804 
0.59 	 -3.87591 	 -3.39466 	 -4.35717 
0.639 	 -3.41601 	 -2.94723 	 -3.88478 
0.688 	 -2.99733 	 -2.53901 	 -3.45566 
0.737 	 -2.61421 	 -2.16467 	 -3.06375 
0.786 	 -2.26205 	 -1.8199 	 -2.70419 
0.835 	 -1.93711 	 -1.50121 	 -2.37301 
0.884 	 -1.63629 	 -1.20567 	 -2.06691 
0.933 	 -1.35698 	 -0.930843 	 -1.78312 
0.982 	 -1.09698 	 -0.674649 	 -1.51931 
1.031 	 -0.854408 	 -0.435321 	 -1.2735 
1.08 	 -0.627643 	 -0.211333 	 -1.04395 
1.129 	 -0.415283 	 -0.00135833 	 -0.829207 
1.178 	 -0.216103 	 0.195761 	 -0.627966 
1.227 	 -0.0290288 	 0.381043 	 -0.4391 
1.276 	 0.146888 	 0.555389 	 -0.261614 
1.325 	 0.312488 	 0.719601 	 -0.0946259 
1.374 	 0.468521 	 0.874394 	 0.0626477 
1.423 	 0.615657 	 1.02041 	 0.210907 
1.472 	 0.7545 	 1.15822 	 0.350778 
1.521 	 0.885592 	 1.28836 	 0.482827 
1.57 	 1.00943 	 1.41129 	 0.607562 
1.619 	 1.12645 	 1.52745 	 0.725446 
1.668 	 1.23706 	 1.63722 	 0.836897 
1.717 	 1.34164 	 1.74098 	 0.942299 
1.766 	 1.44052 	 1.83904 	 1.042 
1.815 	 1.53402 	 1.93172 	 1.13632 
1.864 	 1.62242 	 2.01929 	 1.22556 
1.913 	 1.70599 	 2.10201 	 1.30997 
1.962 	 1.78497 	 2.18012 	 1.38983 
2.011 	 1.85959 	 2.25384 	 1.46534 
2.06 	 1.93006 	 2.32339 	 1.53673 
2.109 	 1.99657 	 2.38895 	 1.6042 
2.158 	 2.05931 	 2.45069 	 1.66792 
2.207 	 2.11844 	 2.5088 	 1.72808 
2.256 	 2.17413 	 2.56342 	 1.78483 
2.305 	 2.22651 	 2.61471 	 1.83832 
2.354 	 2.27574 	 2.6628 	 1.88868 
2.403 	 2.32194 	 2.70782 	 1.93606 
2.452 	 2.36523 	 2.74988 	 1.98057 
2.501 	 2.40573 	 2.78912 	 2.02233 
2.55 	 2.44354 	 2.82563 	 2.06144 
2.599 	 2.47877 	 2.85952 	 2.09802 
2.648 	 2.51152 	 2.89089 	 2.13215 
2.697 	 2.54187 	 2.91982 	 2.16392 
2.746 	 2.56991 	 2.9464 	 2.19343 
2.795 	 2.59573 	 2.97072 	 2.22074 
2.844 	 2.6194 	 2.99285 	 2.24595 
2.893 	 2.641 	 3.01287 	 2.26912 
2.942 	 2.66058 	 3.03085 	 2.29032 
2.991 	 2.67823 	 3.04685 	 2.30962 
3.04 	 2.69401 	 3.06093 	 2.32708 
3.089 	 2.70796 	 3.07317 	 2.34275 
3.138 	 2.72016 	 3.08362 	 2.3567 
3.187 	 2.73065 	 3.09232 	 2.36897 
3.236 	 2.73949 	 3.09935 	 2.37963 
3.285 	 2.74673 	 3.10474 	 2.38871 
3.334 	 2.75241 	 3.10855 	 2.39627 
3.383 	 2.75658 	 3.11081 	 2.40234 
3.432 	 2.75928 	 3.11159 	 2.40697 
3.481 	 2.76056 	 3.11091 	 2.41021 
3.53 	 2.76045 	 3.10882 	 2.41208 
3.579 	 2.759 	 3.10536 	 2.41264 
3.628 	 2.75623 	 3.10057 	 2.4119 
3.677 	 2.75219 	 3.09448 	 2.40991 
3.726 	 2.74691 	 3.08712 	 2.4067 
3.775 	 2.74042 	 3.07854 	 2.4023 
3.824 	 2.73275 	 3.06877 	 2.39674 
3.873 	 2.72394 	 3.05783 	 2.39005 
3.922 	 2.714 	 3.04575 	 2.38225 
3.971 	 2.70298 	 3.03257 	 2.37338 
4.02 	 2.69088 	 3.01831 	 2.36346 
4.069 	 2.67775 	 3.003 	 2.35251 
4.118 	 2.66361 	 2.98667 	 2.34056 
4.167 	 2.64848 	 2.96933 	 2.32762 
4.216 	 2.63238 	 2.95102 	 2.31373 
